from,to,date_from,date_to,place_from,y_from,x_from,place_to,x_to,y_to
Nicholas Wotton,"William Paget, Lord Paget",15461223,15461223,Compi&#x00E8;gne,49.4149,2.8231,Windsor,-0.6095,51.4791
Sir Henry Wallop,Sir Francis Walsingham,15811120,15811120,Dublin,53.34777778,-6.259722222,Paris,2.3508,48.8567
Robert Aske,"Thomas Darcy, Baron Darcy of Darcy",15361122,15361122,York,53.95833333,-1.080277778,NA,NA,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15211203,15211203,Oudenarde,50.85,3.6,Westminster,-0.1333,51.4995
Geoffrey Fenton,"Sir Robert Cecil, Earl of Salisbury",16010715,16010715,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Bishop Tunstall,Privy Council,15430515,15430515,Darlington,54.527,-1.5526,Greenwich,-0,51.48
Cardinal Thomas Wolsey,Sir Gregory Casale,15271206,15271206,London,51.5155,0.0922,Rome,12.5,41.9
Richard Strete,"Thomas Cromwell, Earl of Essex",15360512,15360512,Lichfield,52.6835,-1.826530556,Hampton Court,-0.3375,51.40333333
"Thos. Goldwell, prior of Christchurch, Canterbury","Thomas Cromwell, Earl of Essex",15360102,15360102,Canterbury,51.275,1.087,Hampton Court,-0.3375,51.40333333
Sir Francis Walsingham,Commissioners for Dover Haven,15840611,15840611,NA,NA,NA,NA,NA,NA
Sir William Gerard,Sir Francis Walsingham,15790304,15790304,Dublin,53.34777778,-6.259722222,Paris,2.3508,48.8567
John Arden,Queen Elizabeth I,15930413,15930423,NA,NA,NA,Greenwich,-0,51.48
Robert Huggins,Sir Thomas Chaloner (Challoner),15620826,15620826,Evese,NA,NA,Madrid,-3.716666667,40.38333333
"Ambrose Dudley, Earl of Warwick",Doctor David Lewes,15831014,15831014,The Court,NA,NA,NA,NA,NA
Thomas Watton,Queen Elizabeth I,15830101,15831231,NA,NA,NA,Greenwich,-0,51.48
Sir Francis Walsingham,Sir Owen Hopton,15850523,15850523,NA,NA,NA,NA,NA,NA
"Elizabeth Talbot, Lady Dacre","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15280602,15280602,Naworth Castle,54.95555556,-2.688888889,Morpeth,-1.678,55.163
Queen Elizabeth I,"William Grey, Baron Grey of Wilton",15620705,15620705,NA,NA,NA,Boulogne,1.6147,50.7264
Roger Wilbraham,"Sir William Cecil, Lord Burghley",15950814,15950814,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Sir Thomas Heneage,Thomas Fanshawe,15700406,15700406,NA,NA,NA,NA,NA,NA
"Francis Bacon, Viscount St. Alban","Sir William Cecil, Lord Burghley",15800101,15981231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
John Spencer,Robert Kirkeham,15870217,15870217,NA,NA,NA,NA,NA,NA
"Thomas Poynings, Baron Poynings","George Brooke, Baron Cobham",15450811,15450811,Boulogne,50.7264,1.6147,NA,NA,NA
Sir Nicholas Malby,"Sir William Cecil, Lord Burghley",15821203,15821203,Athlone,53.4333,-7.95,Court of St. James,-0.1375,51.50472222
Francis Lovell,Sir Francis Walsingham,15841112,15841115,Athlone,53.4333,-7.95,Paris,2.3508,48.8567
"Sir William Brereton, Lord Justice of Ireland","Thomas Cromwell, Earl of Essex",15400517,15400517,Trim,53.55224167,-6.793413889,Hampton Court,-0.3375,51.40333333
"Sir Robert Cecil, Earl of Salisbury",University of Cambridge Senate,16010224,16010224,York Place,51.50444444,-0.125555556,NA,NA,NA
Sir Hugh Magennis,Sir Henry Sidney,15751015,15751015,Knockfergus,54.737,-5.849,NA,NA,NA
"Thevenyn, Captain of Rochelle",R. Lema&#x00E7;on alias la Fontaine,15950826,15950905,La Rochelle,46.1591,-1.1517,NA,NA,NA
"William FitzWilliam, 1st Earl of Southampton","Thomas Cromwell, Earl of Essex",15380101,15381231,NA,NA,NA,Hampton Court,-0.3375,51.40333333
"William, Lord Compton","Sir Robert Cecil, Earl of Salisbury",15960415,15960415,Dover,51.1295,1.3089,Greenwich,-0,51.48
"Mary, Queen of Scots",Doctor Allen Cope,15770803,15770803,Sheffield Castle,53.38472222,-1.463333333,NA,NA,NA
Sir Thomas Chaloner (Challoner),"Sir William Cecil, Lord Burghley",15620419,15620419,Madrid,40.38333333,-3.716666667,Court of St. James,-0.1375,51.50472222
"Thomas Reding, Prior, and Nic. Acton, Cellarer, of Kingswood","Thomas Cromwell, Earl of Essex",15350919,15350919,Kingeswodde,51.62638889,-2.366666667,Hampton Court,-0.3375,51.40333333
Sir Henry Unton,"Sir William Cecil, Lord Burghley",15911204,15911204,Rouen,49.44,1.1,Court of St. James,-0.1375,51.50472222
William Lumbarde of Waterford,"Sir William Cecil, Lord Burghley",15890417,15890417,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Clement West,"Thomas Cromwell, Earl of Essex",15380710,15380710,Malta,35.88333333,14.5,Hampton Court,-0.3375,51.40333333
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir William Cecil, Lord Burghley",15910108,15910118,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
Scottish Pledges,"Thomas Cecil, Earl of Exeter",15990101,15991231,NA,NA,NA,York,-1.080277778,53.95833333
Herman Langerman,Sir Walter Mildmay,15800101,15891231,NA,NA,NA,NA,NA,NA
Sir Francis Vere,Privy Council,16010628,16010628,Riesneek,NA,NA,Greenwich,-0,51.48
Privy Council,"Thomas Howard, 4th Duke of Norfolk",15600615,15600615,Greenwich,51.48,-0,Newcastle-upon-Tyne,-1.608333333,54.97222222
"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",Consul at Algiers,16020920,16020920,NA,NA,NA,NA,NA,NA
Edmund Bannaster,Sir Francis Walsingham,15880412,15880412,Bergen op Zoom,51.5,4.3,Paris,2.3508,48.8567
"Thomas Cecil, Earl of Exeter","Sir William Cecil, Lord Burghley",15691202,15691202,York,53.95833333,-1.080277778,Court of St. James,-0.1375,51.50472222
"William Warham, Archbishop of Canterbury",Sir H. Guildford,15280422,15280422,Otford,51.30968889,0.186569444,NA,NA,NA
John Weston,Peter Edgecomb,15830703,15830703,NA,NA,NA,NA,NA,NA
Edward Chester,Queen Elizabeth I,15750709,15750709,Dordrecht,51.81666667,4.666666667,Greenwich,-0,51.48
Francis Mowbray,"Sir Robert Cecil, Earl of Salisbury",16000902,16000902,London,51.5155,0.0922,Greenwich,-0,51.48
Sir John Chaworthe,"Edward Seymour, Duke of Somerset, Lord Protector",15470101,15471231,NA,NA,NA,NA,NA,NA
Sir John Puckering,"John May, Bishop of Carlisle",15930101,15931231,NA,NA,NA,NA,NA,NA
Sir William Brabazon,"Thomas Cromwell, Earl of Essex",15280516,15280516,Daventry,52.26,-1.16,Hampton Court,-0.3375,51.40333333
Sir Thomas Gresham,Privy Council,15551111,15551111,Antwerp,51.21666667,4.4,Greenwich,-0,51.48
"Philip Barrye, of Inishonane, in the county of Cork","Sir William Cecil, Lord Burghley",15900101,15901231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Charles Blount, Baron Mountjoy and Earl of Devonshire","Sir Robert Cecil, Earl of Salisbury",16010204,16010204,NA,NA,NA,Greenwich,-0,51.48
Robert Beale,"Sir Robert Cecil, Earl of Salisbury",16000301,16000301,London,51.5155,0.0922,Greenwich,-0,51.48
Sir Philip Hoby,Thomas Starkey,15360423,15360423,Hevora,38.56666667,-7.9,NA,NA,NA
Juan de Vega (Ambassador in Rome),"Holy Roman Emperor Charles V, (King Charles I of Spain)",15460323,15460323,NA,NA,NA,Brussels,4.35,50.85
Sir Ralph Winwood,John Chamberlaine,16000426,16000426,NA,NA,NA,NA,NA,NA
Ambassador Archibald Douglas,Privy Council,15710701,15710731,NA,NA,NA,Greenwich,-0,51.48
Lord General Sir John Norreys,"Sir William Cecil, Lord Burghley",15941010,15941010,Camp at Crozon fort,48.24583333,-4.4875,Court of St. James,-0.1375,51.50472222
Master of Maxwell,Lord Henry Scrope,15651011,15651011,Annan,54.983,-3.266,Carlisle,-2.944,54.891
Privy Council,"Charles Brandon, Duke of Suffolk",15430719,15430719,NA,NA,NA,Darlington,-1.5526,54.527
Richard Hadsor,"Sir Robert Cecil, Earl of Salisbury",15980527,15980527,London,51.5155,0.0922,Greenwich,-0,51.48
Sir William Browne,"Sir Robert Cecil, Earl of Salisbury",16021125,16021125,NA,NA,NA,Greenwich,-0,51.48
"Robert Weston, Lord Chancellor of Ireland",Captain William Piers the elder,15680312,15680312,Dublin,53.34777778,-6.259722222,NA,NA,NA
Charles de Marillac,"Francis I, King of France",15410830,15410830,NA,NA,NA,NA,NA,NA
"Francis Russell, Earl of Bedford",Queen Elizabeth I,15610213,15610213,Paris,48.8567,2.3508,Greenwich,-0,51.48
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15650512,15650512,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Sir Thomas Spinelly,"Christopher Bainbridge, Archbishop of York",15130101,15131231,NA,NA,NA,NA,NA,NA
Philip Landgrave of Hesse,Queen Elizabeth I,15621220,15621220,Marburg,50.81,8.770833333,Greenwich,-0,51.48
Pope Clement VII,Henry VIII,15220112,15220112,Rome,41.9,12.5,Greenwich,-0,51.48
"Francis Talbot, Earl of Shrewsbury",Privy Council,15440828,15440828,Darlington,54.527,-1.5526,Greenwich,-0,51.48
Sir Francis Walsingham,Thomas Randolph,15780316,15780316,NA,NA,NA,Edinburgh,-3.188888889,55.95305556
Sir Henry Knyvett,"Arthur Plantagenet, Lord Lisle",15350620,15350620,Windsor,51.4791,-0.6095,Calais,1.856388889,50.94805556
Sir Thomas Wilkes (Wylkes),Queen Elizabeth I,15870216,15870216,Hague,52.08333333,4.316666667,Greenwich,-0,51.48
Robert Bowes,Sir Francis Walsingham,15840111,15840111,Newcastle-upon-Tyne,54.97222222,-1.608333333,Paris,2.3508,48.8567
Sir John Perrott,Sir Francis Walsingham,15860207,15860207,Dublin Castle,53.34288611,-6.267427778,Paris,2.3508,48.8567
Sir Ralph Sadler,Sir Francis Walsingham,15841119,15841119,Wingfield Castle,52.3479,1.2595,Paris,2.3508,48.8567
Thomas Beverley,"Sir William Cecil, Lord Burghley",15950101,15950331,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Ed. Miles,"Sir William Cecil, Lord Burghley",15710225,15710225,NA,NA,NA,Court of St. James,-0.1375,51.50472222
William Damsell,Privy Council,15460320,15460320,Antwerp,51.21666667,4.4,Greenwich,-0,51.48
William Maitland of Lethington,Sir William Drury,15720428,15720428,Edinburgh Castle,55.94861111,-3.200833333,Berwick,-2.007,55.771
Queen Elizabeth I,"Henry Norris, Baron Norris",15680502,15680502,NA,NA,NA,Paris,2.3508,48.8567
"Sir William Cecil, Lord Burghley",Sir William Keith,15861206,15861206,NA,NA,NA,NA,NA,NA
Sir Nicholas Throckmorton,Queen Elizabeth I,15670814,15670814,Edinburgh,55.95305556,-3.188888889,Greenwich,-0,51.48
Sir William Eure,Henry VIII,15461225,15461225,NA,NA,NA,Greenwich,-0,51.48
"George Talbot, 6th Earl of Shrewsbury","Sir William Cecil, Lord Burghley",15691217,15691217,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)","Thomas Howard, Duke of Norfolk",15240728,15240728,Morpeth,55.163,-1.678,York,-1.080277778,53.95833333
Sir James Croft,Privy Council,15590317,15590317,Berwick,55.771,-2.007,Greenwich,-0,51.48
Andrew Osiander,"Thomas Cranmer, Archbishop of Canterbury",15380124,15380124,NA,NA,NA,NA,NA,NA
John Husee,"Arthur Plantagenet, Lord Lisle",15370721,15370721,St. Katharine's,NA,NA,Calais,1.856388889,50.94805556
Nicholas Raince,"Anne de Montmorency, Duc de Montmorency",15310412,15310412,Rome,41.9,12.5,NA,NA,NA
Sir Brian Stapleton,"Thomas Cromwell, Earl of Essex",15370813,15370813,Burton Jorce,52.987,-1.037,Hampton Court,-0.3375,51.40333333
Privy Council,Sir John Conway,15890423,15890423,York Place,51.50444444,-0.125555556,Ostend,2.909722222,51.22444444
Lord Henry Scrope,"Sir William Cecil, Lord Burghley",15650619,15650619,Carlisle,54.891,-2.944,Court of St. James,-0.1375,51.50472222
Ambroise de Mouy,"Sir William Cecil, Lord Burghley",15941118,15941128,De votre maison (Aachen),50.78333333,6.083333333,Court of St. James,-0.1375,51.50472222
Anthony Hode,Whitefield,15940220,15940220,Bordeaux,44.84,-0.58,NA,NA,NA
"Robt. Sherbourne, Bishop of Chichester","Thomas Cromwell, Earl of Essex",15340421,15340421,Aldingbourne,50.8413,-0.6897,Hampton Court,-0.3375,51.40333333
"Rowland Phillips, vicar of Croydon",Cardinal Thomas Wolsey,15290831,15290831,London,51.5155,0.0922,Westminster,-0.1333,51.4995
"Henry Clifford, 1st Earl of Cumberland",Henry VIII,15341027,15341027,Skipton Castle,53.96361111,-2.015555556,Greenwich,-0,51.48
Sir John Hussey,"George Talbot, 4th Earl of Shrewsbury",15361006,15361006,Sleaford,52.996,-0.413,NA,NA,NA
"Francois de Bourbon, Prince of Conde","Robert Devereux, Earl of Essex",15951013,15951023,Paris,48.8567,2.3508,Cambridge,0.119,52.205
Adam Loftus,Sir Francis Walsingham,15770316,15770316,Tallaght,53.2886,-6.3572,Paris,2.3508,48.8567
"Mary, Queen of Scots",Queen Elizabeth I,15650828,15650828,Stirling,56.11944444,-3.935833333,Greenwich,-0,51.48
William Denys,Queen Elizabeth I,15990701,15990731,NA,NA,NA,Greenwich,-0,51.48
"William Wickham, Bishop of Winchester","Sir William Cecil, Lord Burghley",15940101,15941231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Margaret,Cardinal Thomas Wolsey,15160110,15160110,Brussels,50.85,4.35,Westminster,-0.1333,51.4995
"Hugh O'Neill, Earl of Tyrone",Captain William Warren,15970413,15970413,Dungannon,54.5,-6.77,NA,NA,NA
Sir Anthony Mildmay,"Sir Robert Cecil, Earl of Salisbury",15990521,15990521,NA,NA,NA,Greenwich,-0,51.48
"John Taylor, Master of the Rolls",Cardinal Thomas Wolsey,15280101,15281231,NA,NA,NA,Westminster,-0.1333,51.4995
Sir Thomas Norris (Norreys),Sir Christopher Hatton,15860904,15860904,Dublin,53.34777778,-6.259722222,NA,NA,NA
Corporation of Youghal,Sir Edward Bellingham,15480715,15480715,Youghal,51.95167222,-7.845611111,NA,NA,NA
King James VI,William Davison,15861025,15861025,Stirling Castle,56.12388889,-3.948888889,Antwerp,4.4,51.21666667
John London,"Richard Rich, Baron Rich",15390718,15390718,Lincoln,53.23271944,-0.537661111,Windsor,-0.6095,51.4791
Queen Elizabeth I,Lord Claud Hamilton,15841006,15841006,Oatlands,51.37507222,-0.442391667,Paisley,-4.423636111,55.84662778
John Brende,"Edward Seymour, Duke of Somerset, Lord Protector",15480729,15480729,Berwick,55.771,-2.007,NA,NA,NA
"Eric XIV, King of Sweden",Queen Elizabeth I,15590726,15590726,Stockholm,59.32944444,18.06861111,Greenwich,-0,51.48
Doctor Meredith Hanmer,"Sir William Cecil, Lord Burghley",15940323,15940323,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
"Cardinal Reginald Pole, Archbishop of Canterbury",Pope Paul III,15460826,15460826,NA,NA,NA,Rome,12.5,41.9
Queen Elizabeth I,Richard Tomson,15830101,15831231,NA,NA,NA,Calais,1.856388889,50.94805556
Francis Penkevell,William Carnsew jun.,15761010,15761010,NA,NA,NA,NA,NA,NA
Hugh Owen,John Owen,15930430,15930510,NA,NA,NA,NA,NA,NA
Desiderius Erasmus,"William Warham, Archbishop of Canterbury",15210823,15210823,Bruges,51.21666667,3.233333333,Otford,0.186569444,51.30968889
Gilbert Gifford (Giffard),Sir Francis Walsingham,15860711,15860711,NA,NA,NA,Paris,2.3508,48.8567
Lord Cahir,"William Lyon, Bishop of Cork and Ross",15990101,15991231,Cahir,52.375,-7.925,NA,NA,NA
"Cardinal Reginald Pole, Archbishop of Canterbury","Bernardo de Fresneda, Confessor Arnheim to Philip II, King of Spain",15531001,15531031,NA,NA,NA,NA,NA,NA
Sir Edward Carne,Henry VIII,15410901,15410901,Brussels,50.85,4.35,Greenwich,-0,51.48
King James VI,George Douglas of Parkhead,15810909,15810909,Paris,48.8567,2.3508,NA,NA,NA
Sir Edw. Mountagu,Sir Walter Mildmay,15810412,15810412,NA,NA,NA,NA,NA,NA
John Harrys,"Honor Plantagenet, Lady Lisle",15390516,15390516,London,51.5155,0.0922,NA,NA,NA
Sir Valentine Browne,"Sir William Cecil, Lord Burghley",15740306,15740306,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Margaret,Cardinal Thomas Wolsey,15190324,15190324,Mechlin,51.01666667,4.466666667,Westminster,-0.1333,51.4995
Sir Francis Walsingham,William Davison,15790311,15790311,NA,NA,NA,Antwerp,4.4,51.21666667
Lord Mayor and aldermen of London,"Sir Robert Cecil, Earl of Salisbury",16010212,16010212,London,51.5155,0.0922,Greenwich,-0,51.48
Dr. Oritz,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15321016,15321016,Rome,41.9,12.5,Brussels,4.35,50.85
"Inigo Mendoza, Bishop of Burgos","Holy Roman Emperor Charles V, (King Charles I of Spain)",15290116,15290116,NA,NA,NA,Brussels,4.35,50.85
John Mawdysley,Henry VIII,15370101,15371231,NA,NA,NA,Greenwich,-0,51.48
"Robert Devereux, Earl of Essex","Sir William Cecil, Lord Burghley",15790101,15791231,Cambridge,52.205,0.119,Court of St. James,-0.1375,51.50472222
Council of Scotland,"John Stewart (Stuart), Duke of Albany",15171007,15171007,Edinburgh,55.95305556,-3.188888889,Edinburgh,-3.188888889,55.95305556
Lord General Sir John Norreys,"Sir William Cecil, Lord Burghley",15930907,15930907,"Lanvollon, near Guingamp",48.6308,-2.9839,Court of St. James,-0.1375,51.50472222
Captain Thomas Reade,"Sir Robert Cecil, Earl of Salisbury",15990214,15990214,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Edmund Harvel,Henry VIII,15430603,15430603,Venice,45.4375,12.33583333,Greenwich,-0,51.48
"Francis Russell, Earl of Bedford","Sir William Cecil, Lord Burghley",15640520,15640520,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Deputy Governor of Ostend and others,Privy Council,15930423,15930423,Ostend,51.22444444,2.909722222,Greenwich,-0,51.48
Sir Thomas Fane,"Henry Brooke, Baron Cobham",16010630,16010630,Dover Castle,51.1297,1.3214,Blackfriars,-0.102959111,51.513096
"Henry III, King of France",Monsieur de Courcelles,15870601,15870601,NA,NA,NA,NA,NA,NA
John Veer,Cardinal Thomas Wolsey,15260809,15260809,Colchester,51.8917,0.903,Westminster,-0.1333,51.4995
Sir Richard Cockburn,"Sir Robert Cecil, Earl of Salisbury",15940925,15940925,London,51.5155,0.0922,Greenwich,-0,51.48
Anthoine Brusset,"Arthur Plantagenet, Lord Lisle",15360919,15360919,Ayre,50.64,2.4,Calais,1.856388889,50.94805556
Sir William Eure,James V,15390131,15390131,Berwick,55.771,-2.007,Edinburgh,-3.188888889,55.95305556
Captain John Dowdall,Sir Francis Walsingham,15820424,15820424,Cork,51.89722222,-8.47,Paris,2.3508,48.8567
"Bonnivet, Admiral of France",Cardinal Thomas Wolsey,15200221,15200221,Cognac,45.7,-0.33,Westminster,-0.1333,51.4995
Robert Wingfield,Henry VIII,15141219,15141219,Innsbruck,47.26666667,11.38333333,Greenwich,-0,51.48
Robert Wingfield,Cardinal Thomas Wolsey,15230322,15230322,Mechlin,51.01666667,4.466666667,Westminster,-0.1333,51.4995
John Popham,"Sir Robert Cecil, Earl of Salisbury",16010826,16010826,Littlecote,NA,NA,Greenwich,-0,51.48
"Hugh Brady, Bishop of Meath","Sir William Cecil, Lord Burghley",15650110,15650110,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"John Lesley, Bishop of Ross","Mary, Queen of Scots",15710801,15710831,Ely Place,NA,NA,Stirling,-3.935833333,56.11944444
Sir William Drury,Sir Francis Walsingham,15790306,15790306,Waterford,52.25666667,-7.129166667,Paris,2.3508,48.8567
John Peyton,"Sir Robert Cecil, Earl of Salisbury",16010309,16010309,The Tower,51.50805556,-0.076111111,Greenwich,-0,51.48
"Ambrose Dudley, Earl of Warwick",Privy Council,15621030,15621030,Havre de Grace,49.48333333,0.1,Greenwich,-0,51.48
George Gilpin,"Sir Robert Cecil, Earl of Salisbury",16020821,16020821,NA,NA,NA,Greenwich,-0,51.48
"Thos. Solubrinensis, Prior of Carswell","Honor Plantagenet, Lady Lisle",15330518,15330518,Carswell,50.84925278,-3.316733333,NA,NA,NA
Mr. JOhn Perpoynt,Henry Jackman,16020420,16020420,NA,NA,NA,NA,NA,NA
"Thomas Howard, 4th Duke of Norfolk","Sir William Cecil, Lord Burghley",15600216,15600216,Newcastle-upon-Tyne,54.97222222,-1.608333333,Court of St. James,-0.1375,51.50472222
Philip O'Reilly,Privy Council,15911010,15911010,NA,NA,NA,Greenwich,-0,51.48
Bishop Tunstall,Cardinal Thomas Wolsey,15160917,15160917,Calais,50.94805556,1.856388889,Westminster,-0.1333,51.4995
"Ferdinand I, Holy Roman Emperor",Queen Elizabeth I,15590508,15590508,Augsburg,48.36666667,10.9,Greenwich,-0,51.48
Lieutenant Richard Greame,"George Carew, Earl of Totnes",16000101,16001231,NA,NA,NA,Cork,-8.47,51.89722222
Queen Elizabeth I,"Sir Thomas Radcliffe, earl of Sussex",15691024,15691024,NA,NA,NA,Berwick,-2.007,55.771
Henry VIII,"Charles Brandon, Duke of Suffolk",15361202,15361202,Court at Richmond,51.46038889,-0.310219444,Darlington,-1.5526,54.527
alderman and burgesses of Stamford,"Sir William Cecil, Lord Burghley",15541218,15541218,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Archbishop of Toledo,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15310521,15310521,Illiescas,40.11666667,-3.833333333,Brussels,4.35,50.85
Richard Lyst,"Thomas Cromwell, Earl of Essex",15330412,15330412,Greenwich,51.48,-0,Hampton Court,-0.3375,51.40333333
Francis Yaxley,"Sir William Cecil, Lord Burghley",15530420,15530420,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Gerald Comerford,Sir William Fitzwilliam,15890122,15890122,Downymulvihill,NA,NA,Dublin Castle,-6.267427778,53.34288611
Dr. Wm. Bruce,"Sir Robert Cecil, Earl of Salisbury",15970101,16101231,NA,NA,NA,Greenwich,-0,51.48
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15620504,15620504,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Cardinal John Salviati,Henry VIII,15281228,15281228,Paris,48.8567,2.3508,Greenwich,-0,51.48
"John Stewart (Stuart), Duke of Albany","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15150826,15150826,Edinburgh,55.95305556,-3.188888889,Morpeth,-1.678,55.163
Mr. Whittingham,"Sir William Cecil, Lord Burghley",15631219,15631219,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Edward Howard,Cardinal Thomas Wolsey,15130319,15130319,NA,NA,NA,Westminster,-0.1333,51.4995
Richard Carmarden,"Thomas Sackville, Baron Buckhurst, Earl of Dorset",16020701,16020731,NA,NA,NA,NA,NA,NA
Edward Thwaytes,"Thomas Cromwell, Earl of Essex",15361122,15361122,NA,NA,NA,Hampton Court,-0.3375,51.40333333
"Jean de la Fin, Seigneur de Beauvoir la Nocle",Privy Council,15920610,15920610,London,51.5155,0.0922,Greenwich,-0,51.48
Queen Elizabeth I,Sir Thomas Gresham,15610226,15610226,NA,NA,NA,Antwerp,4.4,51.21666667
"Fernando Alvarez de Toledo, Duke of Alba (Alva)",Sir William Petre,15560907,15560907,Padua,45.41666667,11.86666667,Bourbourg,2.1986,50.9472
Captain George Thornton,Sir William Russell,15951001,15951001,NA,NA,NA,Camp at Tullagh,-6.7369,52.8003
Dr. Junio De Junius a Wettsio,Sir Francis Walsingham,15870522,15870522,Heidelberg,49.41666667,8.716666667,Paris,2.3508,48.8567
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15910711,15910711,NA,NA,NA,NA,NA,NA
Justices of the Isle of Ely,Privy Council,15860612,15860612,Ely,52.4,0.26,Greenwich,-0,51.48
"Lewis XII, King of France",Archbishop of St. Andrew's and Commendatory of Murray,15110101,15111231,NA,NA,NA,NA,NA,NA
William Fleetwood (Fletewoode),"Sir William Cecil, Lord Burghley",15750813,15750813,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir James Croft,"Sir William Cecil, Lord Burghley",15590605,15590605,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Peter Vannes,Queen Mary I,15530813,15530813,Venice,45.4375,12.33583333,Court of St. James,-0.1375,51.50472222
"Gilbert Lyttelton, Sheriff of Worcester",Privy Council,15851024,15851024,NA,NA,NA,Greenwich,-0,51.48
"John Dymock (c.1493–1585), London merchant and diplomatic agent","William Paget, Lord Paget",15460702,15460702,Bremen,53.08333333,8.8,Windsor,-0.6095,51.4791
Queen Elizabeth I,Nicholas Wotton,15600624,15600624,Greenwich,51.48,-0,Bruges,3.233333333,51.21666667
Queen Elizabeth I,"Mary, Queen of Scots",15830406,15830406,NA,NA,NA,Stirling,-3.935833333,56.11944444
Queen Elizabeth I,Sir Roger Williams,15930223,15930223,Somerset House,51.51102778,-0.117194444,NA,NA,NA
Robert Bowes,Sir Francis Walsingham,15840213,15840213,Berwick,55.771,-2.007,Paris,2.3508,48.8567
Miler Magragh,Privy Council,15821012,15821012,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Andrew Martin,Sir William Drury,15790718,15790718,Castlemaine,52.16805556,-9.700833333,Berwick,-2.007,55.771
King James VI,"Sir Robert Cecil, Earl of Salisbury",16021001,16021031,NA,NA,NA,Greenwich,-0,51.48
John Morgan,"Sir William Cecil, Lord Burghley",15830701,15830731,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Henry VIII,Sir Henry Vernon,15130115,15130115,Greenwich,51.48,-0,NA,NA,NA
"Henry Norris, Baron Norris",Queen Elizabeth I,15680807,15680807,Paris,48.8567,2.3508,Greenwich,-0,51.48
Capt. William Bowen,Sir John Perrott,15841117,15841117,Camp in Lesbryn in Clandebuye,54.642,-5.717,Dublin Castle,-6.267427778,53.34288611
"Robert Sidney, Earl of Leicester","Robert Devereux, Earl of Essex",15951212,15951212,Flushing,51.45,3.566666667,Cambridge,0.119,52.205
"Tobias Matthew, Archbishop of York","Sir Robert Cecil, Earl of Salisbury",15970507,15970507,Carlisle,54.891,-2.944,Greenwich,-0,51.48
Sir Thomas Spinelly,Henry VIII,15170929,15170929,St. Vincent,43.385,-4.398611111,Greenwich,-0,51.48
"John Dudley, Duke of Northumberland",Henry VIII,15460730,15460730,Melun,48.5406,2.66,Greenwich,-0,51.48
"Stephen Gardiner, Bishop of Winchester",Henry VIII,15441109,15441109,Brussels,50.85,4.35,Greenwich,-0,51.48
"William Paulet, Marquess of Winchester",John Easton,15631127,15631127,NA,NA,NA,NA,NA,NA
William Davison,"Sir William Cecil, Lord Burghley",15771118,15771118,Antwerp,51.21666667,4.4,Court of St. James,-0.1375,51.50472222
Captain John Carvell,"William Grey, Baron Grey of Wilton",15611004,15611004,Berwick,55.771,-2.007,Boulogne,1.6147,50.7264
Arthur Capell,"Sir Robert Cecil, Earl of Salisbury",15960723,15960723,Little Hadham,51.8844,0.090461111,Greenwich,-0,51.48
Sir Reynold Carnaby,"Ralph Neville, Earl of Westmorland",15381226,15381226,Hexham,54.971,-2.101,NA,NA,NA
Estates General,Queen Elizabeth I,15900801,15900831,Hague,52.08333333,4.316666667,Greenwich,-0,51.48
Thomas Tebold,"Thomas Cromwell, Earl of Essex",15381212,15381212,Padua,45.41666667,11.86666667,Hampton Court,-0.3375,51.40333333
